"p_val","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj","cluster","gene","avg_log2FC.y","pct.1.y","pct.2.y","sd.1","sd.2","RNA.MTC.123","RNA.MTC.456","se","log2FC","tstat","tstat_corrected"
0,3.6108630117681,1,1,0,"MTC_456","SPP1",3.6108630117681,1,1,0.900974262478999,0.662177547275372,17.5459914535366,255.306653377291,0.00949751626135691,3.6108630117681,380.190242627941,256.972456422944
0,3.23537864022459,0.991,0.861,0,"MTC_456","TIMP1",3.23537864022459,0.991,0.861,1.05191449667338,0.349257601663363,0.217820014031496,4.51888675918112,0.00962374740839113,3.23537864022459,336.186986516667,194.061489276373
0,3.21926782339579,0.991,0.851,0,"MTC_456","MT2A",3.21926782339579,0.991,0.851,1.19994361874537,0.492895418835394,0.34147075706358,4.95014337192354,0.0112200116041652,3.21926782339579,286.921969153821,152.97162298489
0,3.15729329154017,0.989,0.763,0,"MTC_456","LGALS1",3.15729329154017,0.989,0.763,1.03527140953685,0.519921311797681,0.349369219975745,5.22324311891434,0.00997066297402517,3.15729329154017,316.658310461934,195.486080726371
0,3.02231104970801,0.796,0.14,0,"MTC_456","G0S2",3.02231104970801,0.796,0.14,1.26618457400983,0.284267084597776,0.05002614962689,2.22890132638198,0.0113168982021716,3.02231104970801,267.061786340719,119.169833396086
0,2.68154764357045,0.999,0.989,0,"MTC_456","CTSL",2.68154764357045,0.999,0.989,0.91827132804448,0.336168514871551,0.626195548185479,5.95578011193739,0.00847685624560364,2.68154764357045,316.337515451107,181.239518973238
0,2.30576710792197,0.999,0.977,0,"MTC_456","APOC1",2.30576710792197,0.999,0.977,0.774553968317612,0.68193508359981,1.1996351808151,7.99587211531088,0.00869806761351022,2.30576710792197,265.089582005612,184.841449845062
0,2.27985300153013,0.942,0.412,0,"MTC_456","FABP5",2.27985300153013,0.942,0.412,0.814852587478393,0.198053585790043,0.0393851648702113,1.50197960591889,0.00730815513216859,2.27985300153013,311.96012677602,175.113081140578
0,2.26078034935411,0.872,0.356,0,"MTC_456","S100A9",2.26078034935411,0.872,0.356,0.968511246988632,0.420013215204746,0.129717456470437,1.98465997086563,0.00911967498784751,2.26078034935411,247.901416702539,141.193748958072
0,2.2437064989204,0.869,0.283,0,"MTC_456","S100A8",2.2437064989204,0.869,0.283,0.869538116190682,0.26284045077299,0.0491255819886484,1.41243578931229,0.00789783168200157,2.2437064989204,284.091455637578,158.921277733588
