"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","cluster","gene","pos_avgLFC"
"Myeloid","ZNF749",-0.540607564661807,2.16284465265039,-1.14134562475831,0.262357858192979,0.445735529223872,-5.30051593079852,-1.12083557497772,"Favorable_Myeloid","ZNF749",-0.540607564661807
"T Cells","SAMD4B",0.267162427164225,5.08897001166381,1.15528581598485,0.262456951130816,0.445847673223052,-5.45486397237981,1.12060285048837,"Unfavorable_T Cells","SAMD4B",0.0625850183572266
"Myeloid","ATP6V1G1",-0.233665264251584,8.01067539270398,-1.14088790121132,0.26246399773876,0.445847673223052,-5.72510245066755,-1.12058630350496,"Favorable_Myeloid","ATP6V1G1",-0.508789453407114
"Myeloid","NOM1",0.212780246824618,4.79137374755163,1.14077131519332,0.2625307651222,0.445926998719529,-5.84815711605983,1.1204295342454,"Unfavorable_Myeloid","NOM1",0.212780246824618
"NEUT","PSTPIP1",0.234676181590896,5.98688235807564,1.17287219266393,0.262599408893658,0.446009499022182,-5.82446447586852,1.12026838794527,"Unfavorable_NEUT","PSTPIP1",0.109625667623679
"B Cells","POLD4",0.643698495750163,7.90567349365481,1.1315796989937,0.26266069047649,0.446079483428658,-5.40437501014135,1.12012454949865,"Unfavorable_B Cells","POLD4",-0.0111623497230894
"T Cells","PIK3CG",-0.284894268974196,5.71248517433472,-1.14104888588768,0.262739497255263,0.446179218091921,-5.45490545189348,-1.11993961045064,"Favorable_T Cells","PIK3CG",-0.122779494601931
"MONO","TBXAS1",0.217789205362699,7.57957202061103,1.16127572047724,0.262873132898792,0.446336702227982,-5.63767244755589,1.11962608981362,"Unfavorable_MONO","TBXAS1",-0.285022873792158
"T Cells","S1PR1",0.473414306851413,4.82267032855234,1.13939707635266,0.262876509421955,0.446336702227982,-5.71593074795411,1.11961816962723,"Unfavorable_T Cells","S1PR1",0.473414306851413
"T Cells","ZC3H18",0.278089173624868,5.67131272698041,1.13965112383752,0.262892498404861,0.446336702227982,-5.57822865131986,1.11958066581087,"Unfavorable_T Cells","ZC3H18",0.216650182366351
"T Cells","DCTN2",-0.227344341245571,6.36530888148755,-1.13911903508739,0.263000129684641,0.44648532101643,-5.70981347526904,-1.11932824645844,"Favorable_T Cells","DCTN2",0.0176975417187868
"Myeloid","C19orf84",-0.740470361974929,-0.682250736076694,-1.13949637548607,0.263034968228269,0.446510349076622,-4.91374557449808,-1.1192465575816,"Favorable_Myeloid","C19orf84",-0.740470361974929
"Myeloid","GEMIN5",0.215422607686475,3.12142465595629,1.13926373337602,0.263130513473655,0.446638417026061,-5.65441340704702,1.11902256289231,"Unfavorable_Myeloid","GEMIN5",0.215422607686475
"Myeloid","SLA",0.313680072463783,7.98097012288207,1.13881807097633,0.263332029587878,0.446922716257551,-5.66322558565869,1.11855031584769,"Unfavorable_Myeloid","SLA",-0.0614042505441275
"MONO","DDA1",-0.267376302817761,5.07538585275147,-1.1506432832872,0.263356763268002,0.446922716257551,-5.54019149297527,-1.11849237038715,"Favorable_MONO","DDA1",-0.227162925578564
"T Cells","C1orf21",0.359131392600506,6.35478854396538,1.13833481002529,0.263378174843205,0.446922716257551,-5.80194458922874,1.11844221090532,"Unfavorable_T Cells","C1orf21",0.359131392600506
"Myeloid","MSI2",0.224035118268825,4.91167224552948,1.13866029102613,0.263378461977424,0.446922716257551,-5.85758355196112,1.11844153827409,"Unfavorable_Myeloid","MSI2",0.323361100372286
"NEUT","IDS",0.198476144985766,7.31260313564277,1.15935399820578,0.263466981847831,0.446991243845494,-5.93753767959321,1.11823419863911,"Unfavorable_NEUT","IDS",0.198330832856085
"NEUT","TGOLN2",0.222922124054986,7.57392315216301,1.15314325709201,0.263487598777988,0.446991243845494,-6.12987811734061,1.11818591461179,"Unfavorable_NEUT","TGOLN2",0.388114824866831
"Myeloid","MRC1",0.60045422953929,6.46483157596491,1.13855017274774,0.263495997456423,0.446991243845494,-5.75960542230436,1.11816624598948,"Unfavorable_Myeloid","MRC1",1.53049747419738
"Myeloid","TCEA2",0.196896250521639,4.51929029978892,1.13836631151696,0.263499316435856,0.446991243845494,-5.85429425731397,1.1181584734867,"Unfavorable_Myeloid","TCEA2",0.196896250521639
"Myeloid","UBASH3B",-0.318201006780007,3.93352419587575,-1.14116271944157,0.263554372404856,0.447018826933849,-5.69994803170907,-1.11802955133477,"Favorable_Myeloid","UBASH3B",-0.318201006780007
"Myeloid","LILRA4",-0.493523367511235,4.98398302334395,-1.13837302542699,0.263555814070544,0.447018826933849,-5.74302036181145,-1.11802617569902,"Favorable_Myeloid","LILRA4",-0.493523367511235
"MONO","ADAM10",-0.192981322034381,6.942247328858,-1.14124835137763,0.263606447891374,0.447051761461745,-5.62725069979413,-1.11790762554677,"Favorable_MONO","ADAM10",0.255406451832538
"T Cells","TEX264",0.254590952333758,7.03564542444601,1.13879855501772,0.263615472283711,0.447051761461745,-5.60705380468914,1.11788649817492,"Unfavorable_T Cells","TEX264",0.00867225813382189
"T Cells","C9orf16",0.152098830570538,8.18665046320789,1.13746783731096,0.263670022557189,0.447095049393032,-5.85312675272343,1.11775879893449,"Unfavorable_T Cells","C9orf16",-0.0483593087787455
"Myeloid","APTX",-0.111646507421617,5.40575912081705,-1.1379032917884,0.263689744326221,0.447095049393032,-5.8622244563795,-1.11771263582551,"Favorable_Myeloid","APTX",-0.144061808643596
"Myeloid","TBC1D30",0.230016031616689,2.85963438311236,1.13888910765817,0.263701364701187,0.447095049393032,-5.50505973714143,1.11768543691438,"Unfavorable_Myeloid","TBC1D30",0.230016031616689
