"assay","estimate","std.error","statistic","p.value","FDR","log10FDR"
"B Cells",-0.245753542271752,0.178884991349843,-1.37380749730498,0.169501452970402,0.423753632426005,0.372886565990493
"MONO",-0.158685454296691,0.283944678409375,-0.558860462487371,0.576256954525445,0.582713159172426,0.234545174304836
"Myeloid",0.645468974623219,0.184901824427788,3.490874017175,0.000481443216772627,0.00240721608386314,2.61848492351088
"NEUT",0.203580413524808,0.246246128422159,0.826735489525316,0.408387001353774,0.582713159172426,0.234545174304836
"T Cells",-0.0860153656900991,0.156554970365627,-0.549425965136807,0.582713159172426,0.582713159172426,0.234545174304836
