source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
MONO,NEUT,S100A9,TLR4,2.1180613,0.0,2.1018002,1.0908825,2.1122963,0.07234451,0.91936356,0.03375908802916257,0.0,0.014529270779358382,0.02049926370209083
MONO,MTC_456,ANXA1,FPR1,1.7057211,0.0,2.9086392,1.1456386,1.8243196,0.07404257,0.9306151,0.07103807839379869,0.0,0.014529270779358382,0.02061731051735255
MTC_456,NEUT,C1QB,LRP1,2.1695366,0.0,2.2107449,0.26713789,0.45564854,0.052262258,0.921217,0.03349057582081033,0.0,0.014529270779358382,0.02088424623615518
B Cells,MTC_Prolif,HLA-DRA,CD4,2.2362273,0.0,2.4751928,0.27873272,0.2819537,0.04305296,0.92522085,0.03333530978801665,0.0,0.01957187179446016,0.021039533409576983
T Cells,B Cells,TGFB1,CXCR4,1.858648,0.0,2.1479726,1.0881867,2.0328646,0.04946602,0.92016536,0.03331977286396069,0.0,0.014529270779358382,0.02111745506868949
B Cells,NEUT,MIF,CD44_CD74,1.7011733,0.0,2.8732314,1.2283434,1.1407641,0.041163065,0.93021864,0.08129073278262004,0.0,0.014529270779358382,0.021324701221828543
B Cells,T Cells,HLA-C,CD3G,1.7008834,0.0,2.137982,1.5442381,1.5202289,0.1451438,0.91999394,0.03914105009265579,0.0,0.004733612162942245,0.021379753716880244
NEUT,NEUT,PKM,CD44,1.7001626,0.0,2.8695014,1.4080365,1.3892667,0.05966659,0.93017644,0.08293650626003858,0.0,0.014529270779358382,0.021434897652567175
MTC_123,NEUT,C1QA,CD93,1.8296703,0.0,2.2595003,0.505757,0.63734204,0.074688025,0.922005,0.033166995304576154,0.0,0.014529270779358382,0.02150985159682083
MTC_Prolif,T Cells,HLA-E,KLRK1,1.6998594,0.0,2.53257,1.4710891,1.2880787,0.0964002,0.9260097,0.0376852745310619,0.0,0.014529270779358382,0.021545460103513558
MTC_Prolif,MTC_123,HLA-DRB1,CD4,2.067619,0.0,2.2857108,0.34158054,0.5018248,0.049728923,0.92241865,0.03316572866143513,0.0,0.014529270779358382,0.02158888986103124
MTC_Prolif,MONO,PKM,CD44,1.6995916,0.0,2.8846729,1.3836042,1.5869203,0.059982054,0.9303475,0.08069851160275447,0.0,0.014529270779358382,0.021656389089706636
T Cells,MONO,HLA-C,LILRB2,1.9864597,0.0,2.1553752,0.9137429,1.3979833,0.049484625,0.92029166,0.03313765065505868,0.0,0.014529270779358382,0.021747526845343645
MTC_456,NEUT,C1QA,CD93,1.8153011,0.0,2.2368975,0.49545607,0.66926986,0.07394088,0.9216427,0.032770012755399355,0.0,0.014529270779358382,0.022308660681299625
MONO,NEUT,VCAN,SELL,1.7400746,0.0,2.135956,2.2431808,2.9537232,0.16810362,0.91995907,0.03268163970291264,0.0,0.0002793005388490118,0.0226334500474927
NEUT,NEUT,ANXA1,FPR1,1.6881261,0.0,2.7475765,1.1921384,1.1657956,0.06994255,0.9287532,0.07511002256405429,0.0,0.014529270779358382,0.02278595136154673
B Cells,NEUT,HLA-B,LILRB1,1.9205369,0.0,2.2665412,0.4032703,0.5175084,0.03440251,0.92211676,0.03254014120778103,0.0,0.03389947014473473,0.023043694626411784
MTC_Prolif,NEUT,HLA-A,LILRB2,1.6858151,0.0,2.543795,0.9083209,0.83115697,0.056946192,0.9261611,0.07070642979430065,0.0,0.014529270779358382,0.023074137122549875
MTC_Prolif,MTC_Prolif,HLA-DRA,CD4,2.2079518,0.0,2.4386022,0.25724125,0.17790473,0.04241651,0.92470396,0.0323841438389828,0.0,0.047283031918955123,0.02312631311041748
MTC_Prolif,T Cells,TGFB1,CXCR4,1.6844057,0.0,2.3692224,0.9562262,1.5072253,0.054561224,0.923693,0.05799432422234602,0.0,0.014529270779358382,0.023248168396603784
MONO,MTC_456,VCAN,ITGB1,1.7526916,0.0,2.2036965,1.598412,2.2628703,0.06828417,0.92110103,0.03232090555429584,0.0,0.014529270779358382,0.02329212112536722
MTC_Prolif,MTC_123,HMGB1,TLR4,1.8818963,0.0,2.240876,0.6573494,1.2291708,0.056551598,0.92170686,0.03230824516640965,0.0,0.014529270779358382,0.023375311025439983
MTC_Prolif,MTC_123,CD99,CD81,1.681844,0.0,2.8197596,0.31602794,0.37961948,0.044389952,0.92960644,0.08116401997693991,0.0,0.014529270779358382,0.023423041630071972
NEUT,NEUT,VCAN,SELL,1.728203,0.0,2.1170645,2.2282085,2.5309362,0.16661681,0.91963136,0.032252977615402766,0.0,0.0002887330926186678,0.023458691766459983
T Cells,NEUT,HLA-B,LILRA1,2.1699624,0.0,2.2063456,1.1667621,1.3816519,0.08430054,0.9211447,0.03223675438587868,0.0,0.014529270779358382,0.023542263532685796
MTC_Prolif,MONO,GNAI2,C5AR1,1.6808693,0.0,2.805102,0.7934469,1.027072,0.06249326,0.92943573,0.0780576798556433,0.0,0.014529270779358382,0.023598758535343982
MONO,MONO,VCAN,TLR2,1.7485418,0.0,2.181416,1.8032671,2.5688405,0.12933233,0.920731,0.03220701260356326,0.0,0.0033646260010356086,0.02370998087717772
MONO,B Cells,AGTRAP,RACK1,1.9039377,0.0,2.0257137,0.8493344,1.3263829,0.043041807,0.9179862,0.03213981961590236,0.0,0.014529270779358382,0.0240477159624331
MTC_456,T Cells,HLA-E,KLRK1,1.6732606,0.0,2.4739246,1.4472971,1.2770486,0.09416792,0.9252031,0.03827513557050293,0.0,0.014529270779358382,0.024190596675862874
NEUT,B Cells,TNFSF13B,HLA-DPB1,1.6731998,0.0,2.224908,0.866033,1.1221894,0.08658823,0.92144847,0.06074984379317142,0.0,0.014529270779358382,0.02425029954441246
