"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"MTC_123","MTC_123","GAS6","AXL",0.00316540496249514,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"MTC_456","MTC_123","GAS6","AXL",0.00278685921427445,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"MTC_Prolif","MTC_123","GAS6","AXL",0.0068576227198954,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"MTC_123","MTC_456","GAS6","AXL",0.0023806633413819,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"MTC_Prolif","MTC_456","GAS6","AXL",0.00516227657416943,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"MTC_123","MTC_Prolif","GAS6","AXL",0.00287535482425821,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"MTC_456","MTC_Prolif","GAS6","AXL",0.00253140762621331,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"MTC_Prolif","MTC_Prolif","GAS6","AXL",0.00623136481428536,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"MTC_Prolif","MONO","GAS6","MERTK",0.00340775180155745,0,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"MTC_123","MTC_123","GAS6","MERTK",0.00266794057601683,0,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"MTC_456","MTC_123","GAS6","MERTK",0.00234874563020956,0,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"MTC_Prolif","MTC_123","GAS6","MERTK",0.00578326825698373,0,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"MTC_123","MTC_456","GAS6","MERTK",0.00240666024826977,0,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"MTC_456","MTC_456","GAS6","MERTK",0.00211865872309185,0,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"MTC_Prolif","MTC_456","GAS6","MERTK",0.00521848987999119,0,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"MTC_123","MTC_Prolif","GAS6","MERTK",0.00178449396219547,0.89,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"MTC_456","MTC_Prolif","GAS6","MERTK",0.00157082893369107,0.99,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"MTC_Prolif","MTC_Prolif","GAS6","MERTK",0.00387223506889895,0,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"B Cells","MTC_123","GRN","SORT1",0.00270491007874598,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"MONO","MTC_123","GRN","SORT1",0.00954081480264747,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"MTC_123","MTC_123","GRN","SORT1",0.00761057818844068,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"MTC_456","MTC_123","GRN","SORT1",0.00589384462017795,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"MTC_Prolif","MTC_123","GRN","SORT1",0.00799332958837244,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"NEUT","MTC_123","GRN","SORT1",0.0110963063604473,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"B Cells","MTC_Prolif","GRN","SORT1",0.00290795826009753,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"MONO","MTC_Prolif","GRN","SORT1",0.0102517356282322,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"MTC_123","MTC_Prolif","GRN","SORT1",0.00817885774871866,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"MTC_456","MTC_Prolif","GRN","SORT1",0.00633475447349778,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"MTC_Prolif","MTC_Prolif","GRN","SORT1",0.00858994169669165,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"NEUT","MTC_Prolif","GRN","SORT1",0.0119217374183217,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"MONO","B Cells","LGALS9","PTPRC",0.0147839145324895,0.51,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_123","B Cells","LGALS9","PTPRC",0.0145401197742816,0.77,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_456","B Cells","LGALS9","PTPRC",0.0159638476110858,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_Prolif","B Cells","LGALS9","PTPRC",0.0353572577361937,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"NEUT","B Cells","LGALS9","PTPRC",0.0155504145143175,0.07,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_Prolif","MONO","LGALS9","PTPRC",0.031244207932665,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"NEUT","MONO","LGALS9","PTPRC",0.0137087172345174,0.99,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MONO","MTC_123","LGALS9","PTPRC",0.0154205879841071,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_123","MTC_123","LGALS9","PTPRC",0.0151664557592456,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_456","MTC_123","LGALS9","PTPRC",0.0166504764378369,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_Prolif","MTC_123","LGALS9","PTPRC",0.0368467919979775,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"NEUT","MTC_123","LGALS9","PTPRC",0.0162195540699022,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_Prolif","MTC_456","LGALS9","PTPRC",0.0315708734051715,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"NEUT","MTC_456","LGALS9","PTPRC",0.0138546670711707,0.97,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MONO","MTC_Prolif","LGALS9","PTPRC",0.0140625787843598,0.96,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_123","MTC_Prolif","LGALS9","PTPRC",0.0138305122576945,0.99,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_456","MTC_Prolif","LGALS9","PTPRC",0.0151858280343656,0.09,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_Prolif","MTC_Prolif","LGALS9","PTPRC",0.0336664107340442,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"NEUT","MTC_Prolif","LGALS9","PTPRC",0.0147922412680902,0.45,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"B Cells","NEUT","LGALS9","PTPRC",0.0137654250215263,0.93,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MONO","NEUT","LGALS9","PTPRC",0.0211300685265768,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_123","NEUT","LGALS9","PTPRC",0.020783829949414,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_456","NEUT","LGALS9","PTPRC",0.0228047766232069,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_Prolif","NEUT","LGALS9","PTPRC",0.0500857787551011,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"NEUT","NEUT","LGALS9","PTPRC",0.0222181767445688,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"B Cells","T Cells","LGALS9","PTPRC",0.0160232232388101,0.02,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MONO","T Cells","LGALS9","PTPRC",0.0245657237112379,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_123","T Cells","LGALS9","PTPRC",0.0241645780363498,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_456","T Cells","LGALS9","PTPRC",0.0265053586896223,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_Prolif","T Cells","LGALS9","PTPRC",0.0579507778691731,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"NEUT","T Cells","LGALS9","PTPRC",0.0258260856643301,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MTC_Prolif","MTC_123","LGALS9","HAVCR2",0.023875424515149,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"NEUT","MTC_123","LGALS9","HAVCR2",0.0104310572372546,0.92,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"MONO","MTC_456","LGALS9","HAVCR2",0.012901210472443,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"MTC_123","MTC_456","LGALS9","HAVCR2",0.0126880626889399,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"MTC_456","MTC_456","LGALS9","HAVCR2",0.0139330062862861,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"MTC_Prolif","MTC_456","LGALS9","HAVCR2",0.0309368467291315,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"NEUT","MTC_456","LGALS9","HAVCR2",0.0135714427242168,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"B Cells","MTC_Prolif","LGALS9","HAVCR2",0.00762324561363425,0.98,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"MONO","MTC_Prolif","LGALS9","HAVCR2",0.0117408807270827,0.08,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"MTC_123","MTC_Prolif","LGALS9","HAVCR2",0.0115466791227252,0.14,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"MTC_456","MTC_Prolif","LGALS9","HAVCR2",0.0126810694102076,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"MTC_Prolif","MTC_Prolif","LGALS9","HAVCR2",0.0282007418309951,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"NEUT","MTC_Prolif","LGALS9","HAVCR2",0.0123515868464864,0.01,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"B Cells","B Cells","LGALS9","CD44",0.00340510173356739,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MONO","B Cells","LGALS9","CD44",0.00525640836773716,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_123","B Cells","LGALS9","CD44",0.00516890305473201,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_456","B Cells","LGALS9","CD44",0.00568031675917363,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_Prolif","B Cells","LGALS9","CD44",0.0127427280082993,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"NEUT","B Cells","LGALS9","CD44",0.00553171030198556,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"B Cells","MONO","LGALS9","CD44",0.0119413321941882,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MONO","MONO","LGALS9","CD44",0.0183482234479139,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_123","MONO","LGALS9","CD44",0.0180467279617867,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_456","MONO","LGALS9","CD44",0.0198069118676964,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_Prolif","MONO","LGALS9","CD44",0.0436618533666102,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"NEUT","MONO","LGALS9","CD44",0.0192959024010722,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"B Cells","NEUT","LGALS9","CD44",0.0128548263071566,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MONO","NEUT","LGALS9","CD44",0.0197420423287664,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_123","NEUT","LGALS9","CD44",0.0194180968483842,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_456","NEUT","LGALS9","CD44",0.0213091343259436,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_Prolif","NEUT","LGALS9","CD44",0.0468867708787005,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"NEUT","NEUT","LGALS9","CD44",0.0207601890461687,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"B Cells","T Cells","LGALS9","CD44",0.00346040061229493,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MONO","T Cells","LGALS9","CD44",0.00534161133513916,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_123","T Cells","LGALS9","CD44",0.00525269510762992,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_456","T Cells","LGALS9","CD44",0.00577235113338844,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_Prolif","T Cells","LGALS9","CD44",0.0129476998724294,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"NEUT","T Cells","LGALS9","CD44",0.00562135051738958,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MTC_Prolif","B Cells","LGALS9","P4HB",0.007129706895914,0.02,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"B Cells","MONO","LGALS9","P4HB",0.00638342065866408,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MONO","MONO","LGALS9","P4HB",0.00983801319036086,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_123","MONO","LGALS9","P4HB",0.00967497808624656,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_456","MONO","LGALS9","P4HB",0.0106274622848242,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_Prolif","MONO","LGALS9","P4HB",0.0236941517648328,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"NEUT","MONO","LGALS9","P4HB",0.0103507776470073,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_Prolif","MTC_123","LGALS9","P4HB",0.00635527828448354,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"B Cells","MTC_456","LGALS9","P4HB",0.00836473815572313,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MONO","MTC_456","LGALS9","P4HB",0.0128776872530948,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_123","MTC_456","LGALS9","P4HB",0.0126649231228305,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_456","MTC_456","LGALS9","P4HB",0.0139076282647651,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_Prolif","MTC_456","LGALS9","P4HB",0.0308814673256345,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"NEUT","MTC_456","LGALS9","P4HB",0.0135467142186584,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"B Cells","MTC_Prolif","LGALS9","P4HB",0.00755844225647159,0.06,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MONO","MTC_Prolif","LGALS9","P4HB",0.0116414849724424,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_123","MTC_Prolif","LGALS9","P4HB",0.0114489083904137,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_456","MTC_Prolif","LGALS9","P4HB",0.0125738154911477,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_Prolif","MTC_Prolif","LGALS9","P4HB",0.0279659436841482,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"NEUT","MTC_Prolif","LGALS9","P4HB",0.0122470850570165,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_Prolif","NEUT","LGALS9","P4HB",0.00947440485730505,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"NEUT","NEUT","LGALS9","P4HB",0.00410521692365695,0.99,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_456","T Cells","LGALS9","P4HB",0.00451715001578085,0.97,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"MTC_Prolif","T Cells","LGALS9","P4HB",0.0101481408997404,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"NEUT","T Cells","LGALS9","P4HB",0.00439883929649747,0.94,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"B Cells","MONO","PPIA","BSG",0.0194960051542879,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MONO","MONO","PPIA","BSG",0.0235448036062397,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_123","MONO","PPIA","BSG",0.0168459929796059,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_456","MONO","PPIA","BSG",0.0232214683507482,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_Prolif","MONO","PPIA","BSG",0.0287027993571801,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"NEUT","MONO","PPIA","BSG",0.0220024803258987,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"T Cells","MONO","PPIA","BSG",0.01987895008103,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"B Cells","MTC_456","PPIA","BSG",0.0158048419598752,0.01,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MONO","MTC_456","PPIA","BSG",0.0191020185266203,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_123","MTC_456","PPIA","BSG",0.0136495699923835,0.04,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_456","MTC_456","PPIA","BSG",0.0188385179100106,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_Prolif","MTC_456","PPIA","BSG",0.0233099609731502,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"NEUT","MTC_456","PPIA","BSG",0.0178454050784955,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"T Cells","MTC_456","PPIA","BSG",0.016116475948501,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"B Cells","MTC_Prolif","PPIA","BSG",0.0335257927972644,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MONO","MTC_Prolif","PPIA","BSG",0.0403682465832775,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_123","MTC_Prolif","PPIA","BSG",0.0290252210407718,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_456","MTC_Prolif","PPIA","BSG",0.0398233012575583,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_Prolif","MTC_Prolif","PPIA","BSG",0.0490267327105898,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"NEUT","MTC_Prolif","PPIA","BSG",0.0377665122887068,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"T Cells","MTC_Prolif","PPIA","BSG",0.0341747089773183,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"B Cells","NEUT","PPIA","BSG",0.0172879923233419,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MONO","NEUT","PPIA","BSG",0.0208880141542224,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_123","NEUT","PPIA","BSG",0.0149335352325622,0.01,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_456","NEUT","PPIA","BSG",0.0206003942341304,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_Prolif","NEUT","PPIA","BSG",0.0254791701602827,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"NEUT","NEUT","PPIA","BSG",0.019516247811851,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"T Cells","NEUT","PPIA","BSG",0.0176283467128849,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"B Cells","T Cells","PPIA","BSG",0.0177674462421707,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MONO","T Cells","PPIA","BSG",0.0214651279395843,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_123","T Cells","PPIA","BSG",0.015348712027767,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_456","T Cells","PPIA","BSG",0.0211697332017176,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MTC_Prolif","T Cells","PPIA","BSG",0.0261797410256896,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"NEUT","T Cells","PPIA","BSG",0.0200562374980788,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"T Cells","T Cells","PPIA","BSG",0.0181170657802307,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MONO","NEUT","FN1","ITGA4_ITGB1",0.005133224591811,0,"FN1_ITGA4_ITGB1","FN1 - (ITGA4+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"MONO","T Cells","FN1","ITGA4_ITGB1",0.00386144058586555,0,"FN1_ITGA4_ITGB1","FN1 - (ITGA4+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"MONO","MTC_Prolif","FN1","ITGAV_ITGB1",0.0036229817191693,0,"FN1_ITGAV_ITGB1","FN1 - (ITGAV+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"MONO","B Cells","FN1","CD44",0.00492119181960125,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"MONO","MONO","FN1","CD44",0.0171925334837105,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"MONO","NEUT","FN1","CD44",0.0185002151466002,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"MONO","T Cells","FN1","CD44",0.0050009884615408,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"MONO","MONO","THBS1","CD36",0.00485222919202554,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"NEUT","MONO","THBS1","CD36",0.00559429985803123,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"MONO","NEUT","THBS1","CD36",0.00553938438079214,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"NEUT","NEUT","THBS1","CD36",0.00638587005752804,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"MONO","B Cells","THBS1","CD47",0.00533794723140547,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
