"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",126,0.327666607756083,1.66776532862906,0.000539476766660117,0.00125877912220694,0.000405621629067757,21,"tags=37%, list=15%, signal=31%","TIMP1/NME1/EIF5A/FGR/GPR65/NPM1/SRGN/HIF1A/SPI1/FLNA/EIF3J/IFNGR2/LCP2/BCL3/GBP2/UBE2N/CAPG/IL4R/IL2RG/CCR5/BCAT1/CCR1/TLR2/CD80/B2M/IFNAR2/TAP1/EIF3D/ICAM1/LYN/IL10/IL15/TAP2/GCNT1/IL6/UBE2D1/CSF1/CD47/MMP9/EIF3A/TGFB2/STAT1/PTPN6/IL12RB1/CD28/HLA-A"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",70,0.394216636764407,1.79566864366186,0.000573591387326794,0.0012775444535915,0.000411668459803919,22,"tags=36%, list=14%, signal=31%","TIMP1/APOC1/CTSB/SERPINA1/CD9/ADAM9/THBD/WDR1/GNB2/PLEK/APOC2/SH2B2/CAPN2/ARF4/GSN/CSRP1/ANXA1/FURIN/ITGB3/CTSH/PEF1/DUSP14/MAFF/THBS1/MMP9"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",85,0.350134589822768,1.66282852903947,0.000897802245552464,0.00191270913182916,0.000616340214338076,23,"tags=40%, list=16%, signal=34%","CD63/AP2S1/ARF1/TMED2/TMED10/CLTA/RER1/M6PR/CTSC/COPE/ARFGAP3/AP3S1/SEC24D/VAMP3/LMAN1/ATP1A1/ARCN1/YKT6/ANP32E/ERGIC3/CLTC/PAM/STX12/NAPA/USO1/GOLGA4/GLA/COPB1/TMX1/ABCA1/COPB2/GOSR2/IGF2R/AP2M1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",86,0.337093974604362,1.60167074746481,0.00231654678670974,0.00472961635619905,0.00152404393862483,24,"tags=34%, list=16%, signal=29%","IFITM3/IFI30/IFITM2/PSME2/PLSCR1/PSMA3/GBP2/PSME1/IL4R/CCRL2/PROCR/PSMB8/B2M/TAP1/ISG15/LY6E/UBE2L6/NMI/IL15/BST2/CSF1/IFI35/CD47/ISG20/HELZ2/PARP9/PSMB9/GMPR/IFITM1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",170,0.269804934846461,1.42432566955108,0.00247025477107885,0.00484169935131455,0.0015601609080498,25,"tags=29%, list=14%, signal=26%","PLAUR/NAMPT/SOCS3/SPHK1/G0S2/LITAF/HBEGF/IFNGR2/BCL3/PHLDA1/RELB/CD44/PANX1/VEGFA/EHD1/CCL20/ID2/FOSL2/DUSP4/TUBB2A/PLEK/PTPRE/SERPINB8/MAP2K3/TRIB1/PHLDA2/GCH1/NFIL3/AREG/TLR2/FOSL1/CCRL2/TGIF1/MYC/CD80/BHLHE40/DRAM1/B4GALT5/TNIP2/TAP1/ICAM1/BTG3/PDE4B/TNFAIP8/SLC2A3/IL6/CSF1/MAFF/ETS2/RCAN1"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",95,-0.407917481969532,-1.58968522338992,0.00441142326445322,0.00831383615223875,0.00267900198246147,26,"tags=48%, list=25%, signal=37%","SCAF8/PTEN/BMPR1A/SCHIP1/INSIG1/DLC1/TJP1/SPOP/SLC22A18/MGMT/GRK5/ATP2B1/ATRN/CITED2/TOGARAM1/WDR37/FZD2/SYNE1/DLG1/NR3C1/SMAD7/PIK3CD/KCNMA1/LPAR1/NEK7/ICA1/DYRK1A/MGLL/PRDM2/CDKN1B/PRKCA/DUSP1/YTHDC1/AKT3/LDLR/ARHGEF9/ATP2C1/CDK13/NIPBL/ATRX/PHF3/CELF2/DBP/NR1D2/TGFBR2/CACNA1A"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",133,0.284414586970932,1.45649693359557,0.00663689246955053,0.0120447307780732,0.00388122366640382,27,"tags=23%, list=10%, signal=21%","SPP1/FCER1G/PLAUR/LAPTM5/KCNN4/G0S2/RGS16/MAFB/ENG/HBEGF/LCP1/ALDH1A2/GPNMB/LY96/CCL20/ID2/PLEK2/GLRX/TNFRSF1B/NRP1/IL2RG/TRIB1/ANGPTL4/TMEM176A/ERO1A/RBP4/ADAM8/PSMB8/TMEM158/EMP1/GADD45G"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",61,-0.430384327887766,-1.56963987267328,0.00892529649101357,0.0151584988344303,0.00488458609057903,28,"tags=31%, list=19%, signal=25%","YPEL1/CELSR2/NR4A2/CPEB3/STAG3/BARD1/TFCP2L1/PTPRJ/SIDT1/MAST3/CAMK1D/MTHFR/RYR1/PLAG1/SKIL/BTG2/GRID2/SELENOP/SLC29A3"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",111,0.290715124058139,1.44173464368379,0.00897135645303015,0.0151584988344303,0.00488458609057903,29,"tags=24%, list=11%, signal=22%","RAC2/ZYX/PFN1/ARPC2/NECTIN2/MAPK13/TGFBI/ADAM9/VASP/ACTB/MSN/ACTN1/TSPAN4/ACTG1/MYL12B/STX4/GTF2F1/ITGB1/TNFRSF11B/VCAN/HRAS/SIRPA/CD276/ICAM1/TUBG1/RSU1/MAP3K20"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",132,-0.358586978057409,-1.45658508594688,0.0106074140241179,0.0173254429060593,0.00558284948637785,30,"tags=33%, list=24%, signal=25%","RBM38/SIDT2/DCAF10/FOXJ2/KLF3/ARHGEF12/UBAC1/TSPAN5/MARK3/VEZF1/FBXO34/CLCN3/BMP2K/CCDC28A/NR3C1/USP15/MKRN1/ADD1/EPOR/NEK7/FN3K/KAT2B/ATP6V0A1/KDM7A/YPEL5/PICALM/CCND3/TFDP2/ERMAP/CIR1/EZH1/DAAM1/NCOA4/EPB41/SELENBP1/BTG2/LPIN2/FOXO3/RBM5/C3/ABCG2/TNRC6B/TAL1"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",103,0.291899703567171,1.432514436512,0.0128063448289434,0.0202422869876848,0.00652275627959767,31,"tags=31%, list=14%, signal=27%","APOE/PIM3/PLIN2/PPARG/GPX3/ATP1B3/LPL/CD151/YWHAG/TALDO1/RAB34/PGM1/PFKL/FAH/DNAJB9/ALDOA/ANGPTL4/CMPK1/REEP5/PEMT/LPCAT3/STOM/SLC1A5/CAVIN1/JAGN1/GBE1/APLP2/SLC5A6/PREB/SOWAHC/GPAT4/ABCA1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",64,0.331944491040072,1.49233907962968,0.0152198421645998,0.0227884662456553,0.00734322220590395,32,"tags=44%, list=15%, signal=37%","CD14/PIM1/SOCS3/TNFRSF12A/GRB2/CD9/PTPN2/IFNGR2/CD44/PTPN1/IL4R/TNFRSF1B/IL2RG/CCR1/TLR2/ITGB3/IL10RB/ITGA4/IL18R1/IL6/EBI3/IL1R1/CSF1/IFNAR1/STAT1/MYD88/IL1R2/IL12RB1"
