moa,AvgRank_moa,MOA.pseudo.zscore,N_compounds_moa,MOA.MW.p,Rank_moa,MOA.MW.FDR
ATR kinase inhibitor,42543.0763210019,-0.00636300151132941,3,0.991717605839669,66,0.994625868613392
interferon inducer,42638.3555555556,0.796981962791631,3,0.510342272850012,67,0.885974910226924
purine antagonist,42657.4226818989,0.411280199525543,4,0.23143783187431,68,0.84801601503702
FLT3 inhibitor,42717.5573368221,0.394914837819417,17,0.122141207741567,69,0.706622790656801
dihydrofolate reductase inhibitor,42860.7254552599,0.385780701526415,6,0.277552705474111,70,0.85701610097089
thromboxane synthase inhibitor,42875.2393939394,0.393352773981336,4,0.315697408140885,71,0.85701610097089
phospholipase activator,42888.025,0.34350736104372,2,0.724690507812221,72,0.925088604285709
WNT signaling inhibitor,43007.68,0.373508180659283,2,0.561602385949523,73,0.920408974072106
inositol monophosphatase inhibitor,43050.8779722104,0.387557951958146,3,0.375717980222747,74,0.861471394065975
Aurora kinase inhibitor,43154.8265650828,0.411940362943636,14,0.0748462237976831,75,0.691355705475652
hydantoin antiepileptic,43209.2238095238,0.375871912381437,2,0.433446637155419,76,0.885974910226924
neuropeptide receptor antagonist,43293.1660714286,0.368868325135089,3,0.353976595215846,77,0.85701610097089
dehydrogenase inhibitor,43296.3673330304,0.35400559299349,2,0.487806602390721,78,0.885974910226924
benzodiazepine receptor antagonist,43435.0317249417,0.334050617081938,3,0.500115327239521,79,0.885974910226924
focal adhesion kinase inhibitor,43470.8724554342,0.327713028942097,4,0.462061156594885,80,0.885974910226924
chloride channel blocker,43513.34775,0.353851783397887,2,0.463239427313872,81,0.885974910226924
HMGCR inhibitor,43562.1441505475,0.373282473726617,9,0.193265585506903,82,0.817311941080833
JNK inhibitor,43645.5259489574,0.346721375417559,4,0.345671385610969,83,0.85701610097089
ion channel antagonist,43914.7467948718,0.31139470498881,2,0.510334362524614,84,0.885974910226924
potassium channel activator,43999.6916211906,0.295014316604497,7,0.342277683800144,85,0.85701610097089
DNA polymerase inhibitor,44025.9348048942,0.255128392643143,6,0.399833439827073,86,0.870974754272987
histone lysine demethylase inhibitor,44045.6760683761,0.304028562398323,3,0.435482299173162,87,0.885974910226924
ATM kinase inhibitor,44057.7429052224,0.300518406128405,3,0.489454427493812,88,0.885974910226924
sulfonylurea,44126.2083333333,0.296456298714446,2,0.552710403818047,89,0.917606592746466
bacterial DNA gyrase inhibitor,44140.1002600004,0.210987192957436,16,0.392890787440211,90,0.861471394065975
chelating agent,44187.3776191673,0.2445897895216,6,0.423538644285605,91,0.877880099064708
antithyroid agent,44227.2758333333,0.284087104805035,2,0.566253394294675,92,0.920408974072106
autophagy inducer,44341.7833333333,0.222835536059583,2,0.829334502007067,93,0.934277311118728
platelet aggregation inhibitor,44347.8503174603,0.278431840588144,6,0.483597745912457,94,0.885974910226924
serotonin–norepinephrine reuptake inhibitor (SNRI),44376.0117474241,0.257748961369043,6,0.493008401897329,95,0.885974910226924
Bcr-Abl kinase inhibitor,44441.0070750716,0.222834967817666,10,0.451261528675633,96,0.885974910226924
thromboxane receptor antagonist,44504.2288461538,0.274026056966899,4,0.592640085012108,97,0.921285950337004
adenosine receptor agonist,44527.4076785714,0.263317833225116,8,0.462819512533015,98,0.885974910226924
lipase inhibitor,44674.375,0.255237766474738,2,0.572723602755775,99,0.920408974072106
progestogen hormone,44744.8078947368,0.249947991363624,2,0.755886757695734,100,0.925088604285709
platelet activating factor receptor antagonist,44816.2264705882,0.249508762191092,3,0.509231408921012,101,0.885974910226924
histamine receptor antagonist,44829.7905294309,0.166580150280864,42,0.28835045601965,102,0.85701610097089
STAT inhibitor,44850.150662594,0.274031245829868,4,0.480275838510546,103,0.885974910226924
RAF inhibitor,44850.8960534143,0.238068792853815,10,0.36287111385616,104,0.85701610097089
inosine monophosphate dehydrogenase inhibitor,44870.64925,0.24391403197564,2,0.68458226569158,105,0.925088604285709
topoisomerase inhibitor,44892.3263591744,0.247401390957783,24,0.135909330728972,106,0.749693404988845
BCL inhibitor,44948.383969662,0.24370048909959,5,0.406594266070025,107,0.87660509119122
osteoclast inhibitor,45083,0.22844801561882,2,0.633605940039033,108,0.925088604285709
androgen receptor antagonist,45140.2866393146,0.22441391536786,8,0.392336646334508,109,0.861471394065975
beta-catenin inhibitor,45163.35,0.219219401813416,2,0.68458226569158,110,0.925088604285709
VEGFR inhibitor,45173.0453498359,0.222464260962244,31,0.142063970363427,111,0.760006435546921
FGFR inhibitor,45255.1630600831,0.220219514895212,10,0.340304164426682,112,0.85701610097089
HIV integrase inhibitor,45259.1352035887,0.0505709737740333,6,0.907175758697329,113,0.951699722314376
MCL1 inhibitor,45354.1143958333,0.20893043552698,2,0.638895985918157,114,0.925088604285709
cannabinoid receptor antagonist,45416.775,0.0651954188005984,4,0.900712210261858,115,0.950751777498628
lipid peroxidase inhibitor,45457.9971153846,0.211909540328067,2,0.665233309422437,116,0.925088604285709
adenosine receptor antagonist,45542.8398005952,0.011887669169854,12,0.969924247562609,117,0.984858842223888
RNA polymerase inhibitor,45596.8472883747,0.119422620396795,10,0.64820383412889,118,0.925088604285709
vasopressin receptor antagonist,45687.5933035714,0.172201033261344,4,0.618010377492542,119,0.922967463329473
coagulation factor inhibitor,45712.047,0.213209974098231,5,0.609248018883622,120,0.921330740026204
mineralocorticoid receptor antagonist,45869.4505494506,0.177379655936375,2,0.700212640720305,121,0.925088604285709
CHK inhibitor,45883.970430839,0.176061575723428,3,0.679560827605935,122,0.925088604285709
serotonin receptor agonist,46081.3122469881,-0.0684075600233684,28,0.727271722615399,123,0.925088604285709
TRPV antagonist,46119.5675607903,0.159506734424911,5,0.578856676345252,124,0.920408974072106
potassium channel blocker,46203.6043377136,0.0370739867683449,13,0.895134873334805,125,0.95073331267237
Abl kinase inhibitor,46278.880644946,0.164784908543781,4,0.658960217840781,126,0.925088604285709
HDAC inhibitor,46341.7984246545,0.145052618007909,26,0.368366569715558,127,0.85701610097089
Bruton's tyrosine kinase (BTK) inhibitor,46582.2887442725,0.202104922824305,8,0.589114861765446,128,0.920972100605682
vesicular monoamine transporter inhibitor,46634.9084615385,0.116742594156761,2,0.810394080052304,129,0.931671842581269
NFkB pathway inhibitor,46650.8845193747,0.0592150596088455,18,0.774120148493072,130,0.925088604285709
thiazide diuretic,46789.641025641,-0.130034538196875,3,0.830468720994425,131,0.934277311118728
KIT inhibitor,46826.3636737384,0.0943908790773067,16,0.679459469431216,132,0.925088604285709
lipoxygenase inhibitor,46845.9598029898,0.101287846467104,9,0.720296112947939,133,0.925088604285709
IKK inhibitor,46851.1195222672,0.140017259866102,5,0.727148784832332,134,0.925088604285709
adrenergic receptor agonist,46860.2520395147,-0.0277740591680192,40,0.863286092958142,135,0.943271066427108
